OBJECTID,COUNTRY,year,literacy,,,,,,,
2880,Guinea-Bissau,1990,49.5,,,,,,,
3662,Guinea-Bissau,1995,54.8999999999999,,,,,,,
10982,Guinea-Bissau,2000,60.2,,,,,,,
12622,Guinea-Bissau,2010,70,,,,,,,
18060,Guyana,1910,43.7,,,,,,,
18062,Guyana,1920,47.8999999999999,,,,,,,
18064,Guyana,1930,67.7,,,,,,,
18067,Guyana,1945,75.5,,,,,,,
18070,Guyana,1960,87.0999999999999,,,,,,,
46,Guyana,1970,80.0999999999999,,,,,,,
1434,Guyana,1980,94.7999999999999,,,,,,,
2881,Guyana,1990,97.2,,,,,,,
3663,Guyana,1995,98.0999999999999,,,,,,,
10983,Guyana,2000,98.5999999999999,,,,,,,
12623,Guyana,2010,99.2999999999999,,,,,,,
8592,Haiti,1950,10.5,,,,,,,
4298,Haiti,1960,14.5,,,,,,,
47,Haiti,1970,19.6,,,,,,,
1435,Haiti,1980,34.7,,,,,,,
2882,Haiti,1990,41,,,,,,,
3664,Haiti,1995,45,,,,,,,
10984,Haiti,2000,49.3999999999999,,,,,,,
12624,Haiti,2010,57.7,,,,,,,
6931,Honduras,1925,26.1,,,,,,,
7246,Honduras,1930,33.2999999999999,,,,,,,
7569,Honduras,1935,32.6,,,,,,,
7899,Honduras,1940,34.7,,,,,,,
8222,Honduras,1945,36.2999999999999,,,,,,,
8593,Honduras,1950,35.2,,,,,,,
4299,Honduras,1960,45,,,,,,,
48,Honduras,1970,56.8999999999999,,,,,,,
1436,Honduras,1980,62.2999999999999,,,,,,,
2883,Honduras,1990,69.4,,,,,,,
3665,Honduras,1995,72.7,,,,,,,
10985,Honduras,2000,80,,,,,,,
11805,Honduras,2005,83.5999999999999,,,,,,,
12625,Honduras,2010,84.7999999999999,,,,,,,
5545,Austria,1900,60.1,,,,,,,
6097,Austria,1910,67.7,,,,,,,
6619,Hungary,1920,86.5999999999999,,,,,,,
7247,Hungary,1930,90,,,,,,,
7900,Hungary,1940,93.5999999999999,,,,,,,
8594,Hungary,1950,95.2999999999999,,,,,,,
4300,Hungary,1960,96.9,,,,,,,
4895,Hungary,1965,97.4,,,,,,,
49,Hungary,1970,98,,,,,,,
1437,Hungary,1980,98.9,,,,,,,
2884,Hungary,1990,99,,,,,,,
